episode,epsilon,total_reward,steps,success,crate_goal_distance,visited_states
139,0.2594,14.1095,27,True,0.4515,123
140,0.258,13.8644,11,True,0.4609,123
141,0.2567,14.6708,15,True,0.4292,123
142,0.2553,-2.1425,80,False,0.6801,124
143,0.2539,15.087,19,True,0.4146,124
144,0.2525,15.6802,38,True,0.3786,124
145,0.2512,15.059,23,True,0.411,124
146,0.2498,15.4446,13,True,0.4012,124
147,0.2484,13.4501,60,True,0.4323,124
148,0.2471,14.7053,24,True,0.4259,124
149,0.2457,15.0129,7,True,0.4144,124
150,0.2443,14.126,10,True,0.4488,124
151,0.2429,15.8022,12,True,0.3869,124
152,0.2416,13.9808,12,True,0.4528,124
153,0.2402,14.5238,21,True,0.4313,124
154,0.2388,14.3251,7,True,0.4408,124
155,0.2375,14.6459,10,True,0.4302,124
156,0.2361,14.4904,7,True,0.4345,124
157,0.2347,14.9833,53,True,0.4028,125
158,0.2333,14.8593,39,True,0.4178,125
159,0.232,15.6855,16,True,0.392,125
160,0.2306,15.0646,10,True,0.4141,125
161,0.2292,13.9502,10,True,0.457,125
162,0.2279,13.1933,15,True,0.489,125
163,0.2265,15.5829,22,True,0.3983,125
164,0.2251,14.6975,8,True,0.4271,125
165,0.2237,14.4719,26,True,0.4284,126
166,0.2224,15.3863,21,True,0.4001,126
167,0.221,-2.1154,80,False,0.6801,126
168,0.2196,14.4638,8,True,0.4361,126
169,0.2183,14.4329,14,True,0.435,126
170,0.2169,16.1168,14,True,0.376,126
171,0.2155,14.9915,10,True,0.4169,126
172,0.2141,13.6748,31,True,0.4514,127
173,0.2128,15.9696,22,True,0.3819,127
174,0.2114,13.675,12,True,0.4687,127
175,0.21,15.582,13,True,0.396,127
176,0.2087,15.304,27,True,0.4001,127
177,0.2073,15.6039,9,True,0.3928,127
178,0.2059,15.413,20,True,0.4016,127
179,0.2045,15.4337,21,True,0.3997,127
180,0.2032,13.7574,16,True,0.461,127
181,0.2018,15.3482,29,True,0.3917,127
182,0.2004,14.8943,15,True,0.4185,127
183,0.1991,16.0321,12,True,0.3765,127
184,0.1977,14.7277,15,True,0.4216,127
185,0.1963,15.5889,25,True,0.3916,127
186,0.1949,14.9117,7,True,0.4183,127
187,0.1936,15.1281,16,True,0.4102,127
188,0.1922,13.5996,34,True,0.4587,127
189,0.1908,14.7167,15,True,0.4265,127
190,0.1895,14.1158,16,True,0.4476,127
191,0.1881,2.8704,80,False,0.5353,129
192,0.1867,16.0914,27,True,0.377,130
193,0.1854,15.4607,14,True,0.3975,130
194,0.184,14.0581,12,True,0.4494,130
195,0.1826,15.2032,32,True,0.4051,130
196,0.1812,15.6409,12,True,0.3931,130
197,0.1799,14.7106,17,True,0.423,130
198,0.1785,14.4639,13,True,0.4381,130
199,0.1771,13.9885,46,True,0.426,130
200,0.1758,15.9235,12,True,0.3822,130
201,0.1744,15.5973,22,True,0.3888,130
202,0.173,15.8443,12,True,0.3853,130
203,0.1716,4.2861,80,False,0.4767,131
204,0.1703,-2.1073,80,False,0.6801,133
205,0.1689,3.863,80,False,0.5411,133
206,0.1675,15.7494,10,True,0.3878,133
207,0.1662,14.3508,7,True,0.4399,133
208,0.1648,15.6161,25,True,0.387,133
209,0.1634,13.4002,32,True,0.4764,133
210,0.162,14.6598,14,True,0.4265,133
211,0.1607,15.2435,12,True,0.4084,133
212,0.1593,15.4865,17,True,0.3966,133
213,0.1579,14.3009,7,True,0.4418,133
214,0.1566,15.4702,19,True,0.3972,133
215,0.1552,14.5319,14,True,0.4304,133
